Priority,URL(s),Change,Where,ImplementationNotes,GSC/AdsRisk,Guardrails,VerificationSteps
P0,All pages with tel: links,Add phone call conversion tracking,assets/js/main.js,Add click event listener to tel: links with gtag conversion event,SAFE,Do not modify existing Google tag ID,Use Tag Assistant to verify
P0,"/contact/, /home-value/, /agents/, /referrals/",Add form submission conversion tracking,assets/js/main.js:352,Add gtag conversion event in response.ok block,SAFE,Only fire after successful submission,Submit test form and check GA4
P0,"/, /sellers/, /buyers/",Add calculator interaction tracking,assets/js/main.js,Fire GA4 event on slider interaction with debounce,SAFE,Debounce to avoid excessive tracking,Check GA4 Real-time events
P1,All pages,Consolidate URL format to /path/,All HTML canonical tags and sitemap.xml,Update canonicals to /path/ format and ensure redirects work,SAFE-WITH-STEPS,Preserve content and ensure redirects,Test redirects and submit sitemap to GSC
P1,/contact/,Add LocalBusiness schema,contact.html head,Add comprehensive LocalBusiness structured data,SAFE,Validate with Rich Results Test,Test with Google Rich Results Test
P1,All pages with images,Enhance image alt text,All HTML img tags,Review and enhance alt text for accessibility and SEO,SAFE,Keep natural and avoid keyword stuffing,Run axe-core audit
P1,"/, /about/",Add/verify review aggregation schema,index.html RealEstateAgent schema,Update ratingCount as reviews grow,SAFE,Rating data must be accurate,Validate with Rich Results Test
P2,/areas/,Add ARIA tabpanel roles,areas/index.html:141-534,Add role=tabpanel and aria-labelledby to content divs,SAFE,Maintain keyboard functionality,Test with screen reader
P2,"/contact/, /home-value/, /agents/, /referrals/",Add novalidate to forms,All form elements,Prevents browser validation for consistent custom UX,SAFE,Custom validation must handle all fields,Test form validation
P2,/,Verify/create manifest.json,/manifest.json,Create minimal PWA manifest with icons,SAFE,Include proper icon sizes,Check Lighthouse PWA audit
P2,All pages,Add preconnect hints,All HTML head sections,Add preconnect for googletagmanager.com and formspree.io,SAFE,Don't add too many preconnects,Check Lighthouse performance
P2,/buyers/,Consolidate duplicate FAQPage schemas,buyers.html:76-123 and 790-845,Merge into single FAQPage schema,SAFE,Include all existing questions,Validate with Rich Results Test
